                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9004,                 5.0732,                  4.253,                0.00072,                0.18391,                 0.0008,                0.00011,                 2.6535,                 4.4908,                 4.1575,                0.00011,                0.00011,                0.00011
                      2,                 2.8115,                 5.0079,                 4.2402,                0.00078,                0.20651,                0.00075,                0.00013,                 2.6451,                 4.4857,                 4.1515,             0.00022909,             0.00022909,             0.00022909
                      3,                 2.7586,                 4.9313,                  4.139,                0.00057,                0.17222,                0.00063,                 0.0001,                 2.6321,                 4.4831,                 4.1402,             0.00034723,             0.00034723,             0.00034723
                      4,                 2.7011,                 4.6657,                 3.9878,                0.00074,                0.19502,                0.00134,                0.00021,                 2.6203,                 4.0627,                 4.1334,             0.00046442,             0.00046442,             0.00046442
                      5,                 2.7115,                 4.3389,                 3.7844,                0.00087,                0.21743,                0.00164,                0.00035,                 2.6228,                 3.9045,                 4.1853,             0.00058065,             0.00058065,             0.00058065
                      6,                 2.6965,                 4.0858,                 3.6024,                0.00067,                0.16705,                0.00155,                0.00025,                 2.6506,                 3.9519,                 4.3113,             0.00069594,             0.00069594,             0.00069594
                      7,                 2.6004,                  3.801,                 3.4586,                 0.0006,                0.15057,                0.00998,                0.00126,                  2.652,                 4.1143,                 4.3589,             0.00081028,             0.00081028,             0.00081028
                      8,                 2.7755,                 3.7701,                 3.4305,                0.00056,                0.12222,                0.00155,                0.00027,                 2.3808,                  3.873,                 3.8305,             0.00092367,             0.00092367,             0.00092367
                      9,                 2.6896,                 3.5801,                 3.3858,                0.00126,                0.31705,                0.01598,                0.00325,                 2.2706,                 3.8068,                 3.5323,             0.00096832,             0.00096832,             0.00096832
                     10,                 2.6361,                 3.4929,                 3.2937,                0.00291,                0.84674,                0.10129,                0.03645,                 2.2637,                 3.3289,                 3.2018,             0.00096436,             0.00096436,             0.00096436
                     11,                 2.4439,                 3.2663,                  3.138,                0.00326,                0.93793,                0.20697,                0.08706,                 2.1395,                 3.2413,                 3.0469,              0.0009604,              0.0009604,              0.0009604
                     12,                 2.4807,                 3.2287,                 3.1598,                0.55157,                 0.4248,                0.24447,                0.10666,                 2.1194,                 3.0485,                 2.8581,             0.00095644,             0.00095644,             0.00095644
                     13,                 2.4318,                 3.2181,                 3.1279,                0.38916,                0.46284,                0.38146,                0.16499,                 2.2073,                 2.8169,                  2.876,             0.00095248,             0.00095248,             0.00095248
                     14,                 2.4075,                  3.205,                 3.1564,                0.61959,                0.16667,                0.26871,                  0.114,                 2.2271,                 2.7109,                 2.7041,             0.00094852,             0.00094852,             0.00094852
                     15,                 2.3177,                  2.928,                 3.0279,                0.38272,                0.24205,                 0.3468,                0.15023,                  1.912,                 2.4686,                 2.6944,             0.00094456,             0.00094456,             0.00094456
                     16,                 2.3507,                 3.0013,                 3.0138,                0.33087,                0.21821,                0.34818,                0.12279,                 1.9776,                 2.8473,                 2.8717,              0.0009406,              0.0009406,              0.0009406
                     17,                 2.3106,                  2.882,                 3.0131,                0.56319,                0.55416,                0.63471,                0.36289,                 1.6368,                 2.0098,                 2.4163,             0.00093664,             0.00093664,             0.00093664
                     18,                  2.214,                 2.8375,                 2.8904,                 0.4333,                0.71552,                0.65682,                0.36998,                  1.734,                 1.8945,                 2.5479,             0.00093268,             0.00093268,             0.00093268
                     19,                 2.0853,                 2.6354,                  2.906,                0.47697,                0.51765,                0.60359,                0.33834,                 1.6748,                 2.5276,                 2.4636,             0.00092872,             0.00092872,             0.00092872
                     20,                 2.1938,                 2.7827,                 2.9065,                0.50536,                 0.7148,                0.63264,                0.36488,                 1.7022,                 3.1485,                 2.4497,             0.00092476,             0.00092476,             0.00092476
                     21,                 2.1102,                 2.8505,                 2.8183,                0.54316,                0.54115,                0.56762,                0.24861,                 2.1162,                 2.0334,                 2.6671,              0.0009208,              0.0009208,              0.0009208
                     22,                  1.993,                 2.5676,                 2.7241,                 0.6477,                0.50277,                0.66139,                0.37573,                 1.6354,                 2.0727,                 2.4235,             0.00091684,             0.00091684,             0.00091684
                     23,                 1.9261,                 2.5333,                 2.6386,                0.71857,                0.66444,                0.78215,                0.50675,                 1.3488,                 1.7877,                 2.2542,             0.00091288,             0.00091288,             0.00091288
                     24,                 1.9768,                 2.5437,                  2.685,                 0.6487,                0.61507,                 0.7199,                0.40497,                 1.6369,                 1.7354,                 2.5767,             0.00090892,             0.00090892,             0.00090892
                     25,                 1.9029,                 2.5127,                 2.6754,                0.68131,                0.62522,                0.74936,                0.44207,                 1.6212,                 1.8118,                 2.5345,             0.00090496,             0.00090496,             0.00090496
                     26,                 1.8597,                   2.36,                 2.6132,                0.50569,                0.84827,                0.75434,                0.43359,                 1.5635,                 2.1614,                 2.2745,               0.000901,               0.000901,               0.000901
